MaterialID,RawText,Status,DocumentID
MAT-0001,"MAT-0001
PCB-0001
Resistor-R1
CAP-0001",Y,DOC-2026-0001
MAT-0002,"MAT-0002
PCB-0002
Resistor-R2
CAP-0002 (obsolete)",N/A,DOC-2026-0002
MAT-0003,"MAT-0003
PCB-0003
Resistor-R3
CAP-0003",N,
MAT-0004,"MAT-0004
PCB-0004
Resistor-R4
CAP-0004 (obsolete)",Y,DOC-2026-0004
MAT-0005,"MAT-0005
PCB-0005
Resistor-R5
CAP-0005",N/A,
MAT-0006,"MAT-0006
PCB-0006
Resistor-R6
CAP-0006 (obsolete)",N,DOC-2026-0006
MAT-0007,"MAT-0007
PCB-0007
Resistor-R7
CAP-0007 (obsolete)",N,
MAT-0008,"MAT-0008",Y,DOC-2026-0008
MAT-0009,"MAT-0009 (planned)",N/A,
MAT-0010,"MAT-0010",N,
